sid,log_h_gain,log_h_loss,log_beta,beta0,a,b,log_sigma,tau_raw,tau,ll_choice,ll_rt,conv,h_gain,h_loss,beta,sigma
2rrjzhgj9,2.934879613450811,-2.3321859540324206,0.9713288062669329,1.4493042546340158,0.8392805072074743,0.3603153658958166,-0.9295677905674832,-0.45032324226324033,0.29447732115416164,-114.37576340701165,-233.54080852946225,True,18.81923741575546,0.09708329534831343,2.641452106459162,0.3947242770644698
3lmzwis6r,-0.4960324654133602,1.2041705074914648,2.2625614598017494,-1.7232223229530277,1.4221558096102256,0.39995701299007375,-0.8137350593174508,-1.854626161294285,0.04504318188832949,-61.71783168107051,-348.0185983912361,False,0.6089418712024192,3.3339924090336255,9.607667328990631,0.44319959413163634
4f8msviwg,-0.9812774422330959,-2.7448064618850982,0.9394497685141963,0.2721841341325008,0.26585802795862246,0.05448368831499984,-0.8759320689438572,0.28427791949597436,0.5999118550163326,-95.71075068568372,-155.36808003433487,True,0.37483196670015606,0.06426073664290552,2.558573223401956,0.41647365655481167
52b64k0rp,-1.5323347740256086,1.1505815717654473,-0.053736828308709315,-2.710269818950558,0.9553058229806322,0.8174508698431444,-0.4556257789800405,0.9340649510101285,0.4976463227282148,-56.296322884223805,-248.93105629555114,True,0.21603069519163037,3.1600301597104643,0.9476814766237885,0.6340510679447486
5wlmihb4c,2.776276249129916,-1.7289174174493787,1.1659422275088112,0.8972067032062709,0.28247579547750423,0.5415281862401903,-0.6086141367525905,1.36456655782334,0.9745514840516102,-107.18666662683503,-168.0890890107409,True,16.05910934691525,0.17747643890344014,3.2089450154789927,0.5441044010999643
6owg3par9,0.6292878705533321,-1.0449619057472126,1.9314191803469447,0.6043481451542353,0.4701569340068751,-0.15440301908811294,-0.6581069227862225,-0.09296445197910749,0.37963591749110237,-72.03279848228044,-263.6640793156387,True,1.8762739534632566,0.35170521707032343,6.899294640387258,0.5178307006913713
8py7pm5i0,2.342021684747536,0.14222300170789573,1.5258046157755216,0.6620214585640812,0.16041658403543588,-0.1603935032924822,-0.6299757925348287,0.19868177784472832,0.26950385053791626,-100.0063230693957,-205.39511153077288,True,10.402245379798176,1.152833703758921,4.598842382175379,0.5326046938604216
95vrrzevd,2.4765486062448225,-1.8300178837045886,1.73381359582496,1.8170628248810423,0.38836471580701354,0.22707097401458434,-0.7439649304071175,0.560553759506883,0.7036979052440989,-79.48057556719516,-182.58864964277936,True,11.900121453535116,0.1604106990119668,5.662206152276688,0.4752259373740642
bh348lli7,0.6338788299125413,-1.280675595423032,0.6690420843943177,-4.870677489604296,-0.4263729603143935,1.0455384836022303,-0.27970331667103976,2.219009268868674,0.2266241550962456,-1.3478712615402872,62.49055965330848,True,1.8849076542507623,0.2778495231634568,1.9523662225294105,0.7560080031578238
c0ry57ax9,1.144933329898802,3.280025388953253,-0.5823167872364065,0.13772223292423358,-0.15451091060904795,-1.3380861078440152,-0.5343919245851063,0.6088564733746252,0.4587167013511891,-138.66186675611246,-181.46944654938798,True,3.142231856939665,26.576447439490128,0.5586027026444158,0.5860255295406215
ck5f3lx8c,-0.7590173787402789,3.3269140099840113,2.0000706986325785,-3.3047806571900886,1.0886835910244332,0.5718922544642829,-0.826471144425447,-0.013649867768965762,0.4980127924126292,-62.174736160729594,-251.89332776288467,True,0.46812619183389864,27.852257156021306,7.389578513559672,0.4375907594948109
ctdyczfpw,2.304344689379455,-2.9897700723624316,1.8586607683335257,2.2334970480265044,1.0325966280717063,0.7641780413354451,-0.9264349165553133,-0.2549959382955863,0.3959210959667539,-61.394569040656904,-199.02558907492653,True,10.017611453835329,0.05029900052448486,6.415139657776103,0.39596283760809864
dasemqdsv,-0.06634495091940366,2.9947518249085783,1.6573976099770373,-2.2784085695398737,0.33743732072172067,0.32611534148320875,-0.5459106366547933,1.1240205102199041,0.705045068978172,-85.22291000802127,-202.22133489251016,True,0.9358080007785337,19.98040063674636,5.245641860106244,0.5793139985045374
derouhkrw,0.8686438525052501,-0.5483074082934034,2.357209621548493,1.2369639123325822,0.5280239034201082,0.035586698306438125,-0.3820456364453276,1.1258924357315678,0.8589111262032084,-60.291849342873824,-306.58986270519176,True,2.3836760442850724,0.5779271777532783,10.56143988309214,0.6824639072679085
