sid,log_h_gain,log_h_loss,log_beta,beta0,ll_choice,ll_rt,conv,h_gain,h_loss,beta
2rrjzhgj9,2.596119864697792,-2.906207365860278,-0.4240232699082349,-0.11058169791610573,-133.98330353872444,,True,13.411598130111003,0.054682728669312376,0.65440865370236
3lmzwis6r,-2.026581372645128,-3.3517953566230863,0.619983905194879,0.3151072397157463,-95.36340541390133,,True,0.13178527668902984,0.03502142168331388,1.858898123002544
4f8msviwg,-0.8398419228488653,-1.7923670038746635,0.5279491810434027,0.5351726753730881,-115.00740189522138,,True,0.431778772392897,0.16656544164419954,1.6954516763273224
52b64k0rp,0.6620124249177076,1.9750982215052793,-2.309077286282546,-1.7330570691786273,-85.97738987310214,,True,1.9386898791490814,7.207327533614781,0.09935288354661577
5wlmihb4c,3.930610352426381,-2.6746526181480688,-0.4648254393440061,-0.28939458288611797,-132.25367009690223,,True,50.93805835066136,0.068930769534439,0.6282447624362976
6owg3par9,1.5532674751233027,-3.424330187411622,-0.03989850192704458,0.06607993165956319,-130.87840656297396,,True,4.72688997237733,0.0325710902104827,0.9608869623780391
8py7pm5i0,-3.3985932959031264,-3.8209095780357516,0.11627694197151019,0.06428959053218634,-105.80435298941627,,True,0.03342024931118104,0.021907864916234202,1.123306919893183
95vrrzevd,-3.471372677550718,-3.2557897933347504,0.09871212327287653,1.000468715921534,-97.37021814770497,,True,0.031074346314252054,0.0385503618180447,1.1037485103102966
bh348lli7,3.0724948163398427,-0.6036255257982701,-0.7657895994000135,0.6978899813680851,-100.25564892056488,,True,21.595712861143095,0.5468255079040168,0.4649666486036623
c0ry57ax9,0.5984483558614415,-2.8971493834732995,0.4372214047802113,-0.049049598047365535,-109.717015010934,,True,1.819293712766259,0.05518029392917575,1.5483988620175497
ck5f3lx8c,-2.9788481074623387,-4.181647650086915,0.21902952763785696,0.634714956045573,-103.83471850136516,,True,0.05085137546153527,0.015273321733821189,1.2448680341573402
ctdyczfpw,-1.6863882613117331,-1.1502483499737557,-0.044727968339758166,1.056722149217035,-103.9710945385022,,True,0.18518716524364037,0.31655814240959484,0.9562575787909696
dasemqdsv,1.7242544123895187,-3.4118498927374485,-0.18035730069089437,0.7184279039039784,-123.56747457908627,,True,5.608337963164922,0.03298013419962755,0.8349718220981797
derouhkrw,-0.3098617164451194,-3.695838139688927,0.4151308883401555,-0.17228626134703287,-117.1264639839966,,True,0.7335483868896472,0.024826636750365363,1.5145689671371596
dm8t9csqy,3.579091657762932,-3.549541633902631,0.1209802336713933,-0.45547456583369056,-124.2835459462192,,True,35.840970189609585,0.028737809073193087,1.1286026038169321
eqi6zanpf,-2.290535645144413,-1.1501096446929167,0.6829822657844449,1.6310304444413815,-65.1722305352496,,True,0.1012122334901759,0.31660205374093603,1.9797731467309916
etxmnk1pg,-0.49158841296851874,-4.01655529507835,0.6213933224947135,0.39542314930286143,-105.9174126846044,,True,0.6116540629112758,0.018014914243466826,1.8615199333541574
goz8d3fp9,-3.0531596247396657,-4.188805867194067,0.14177380919196408,0.505037779593153,-104.07888980263618,,True,0.04720952411069323,0.015164382351948013,1.1523159757755517
hrqn8w6vu,-1.2001183527289159,-1.5156929437267501,0.2699229431600429,0.154245730037197,-110.28493745056534,,True,0.30115856686467457,0.2196559229055546,1.3098635129012428
ig1j8ozi9,1.5708789128330467,-2.2694134872683915,-0.05442665642033554,-0.4006978031165776,-120.68269987594452,,True,4.810874675639127,0.10337279176507322,0.9470279647316985
iogaivfgt,-2.349497152565936,-2.73129086499262,0.5502401568504224,-0.32426678529614766,-97.235359162739,,True,0.09541713041339041,0.06513515468538639,1.733669320440108
ir0t9ca41,-0.4178137356507651,-3.4346054339681795,0.35390528762882095,-0.01877714524947575,-116.87595646614224,,True,0.6584848692583185,0.0322381277929496,1.424620250927961
jtf46arcd,-1.399061315451149,-3.728925634571746,0.7688301879069153,-0.30965219272842115,-90.4357950612395,,True,0.2468285493772824,0.024018626762016375,2.1572412103041527
kimjztxjq,-0.967990888769639,-3.0298690336069343,0.3856720655291983,-0.541254293744372,-101.10405599842801,,True,0.37984542369476926,0.04832196626529956,1.4706023305340399
kqi5vqk0e,3.6815790105988064,-2.1126634480677327,-0.5820174188008722,-1.2218360917440518,-101.12374879119494,,True,39.70904559971305,0.12091548505279287,0.5587699556954847
ljm2sl8s0,-3.529689463547735,-3.2889027825663364,0.828129174699126,0.034731416060056336,-77.16286224432406,,True,0.029314017524773132,0.037294747402143925,2.289032352333615
mu73zwng6,-2.3549109113743683,4.117715137081351,0.4875577400554224,-0.14408708751412935,-117.14810592014821,,True,0.09490196084328743,61.41874840021056,1.6283345435579897
n08qsd76x,-1.507837006737951,-2.2946468179282946,0.3998722625445824,-0.21426527767763792,-106.70801615591105,,True,0.22138832189408167,0.10079698667103201,1.4916341479208919
nvbinkqjq,-2.0188616114774485,-2.991676619021807,0.15312193036219923,0.3578078067549695,-116.47409836722238,,True,0.13280656452764325,0.05020319449142173,1.1654670761023032
o7piq7dwr,-0.795274267205128,-3.5925439635429943,0.8416198945315615,0.8474479102983163,-73.31621682260874,,True,0.4514573979823838,0.027528210505878288,2.320122287762551
od96gfdym,2.3283180243187664,5.088853120536408,1.2876368681259502,-0.9819606225023995,-118.69467607219451,,True,10.260668815549218,162.20372721311983,3.6242119375184543
omy06qkfz,4.306964866940438,-2.6522095614291548,-0.3026381695661896,-0.5962327080178232,-120.6520050061958,,True,74.21489467887497,0.07049527720349771,0.7388663923569294
orxx7nl6z,-2.6846964166346514,-3.439115903702823,0.6171202632389778,-0.13962085569061386,-66.15059280814128,,True,0.06824190796002795,0.032093046132423135,1.8535825189716562
p5lejwwzi,-1.804434068729466,2.458279137795049,-0.2259747848067169,-0.26853394011034726,-131.8091290951341,,True,0.16456756415909704,11.68468649336814,0.7977382165353923
qhp782ect,-0.09511754296325692,-2.123491282158161,-0.30877387414188484,1.293958815258194,-96.1591604904313,,True,0.9092660503606688,0.11961329491365683,0.7343468060547095
rncbe0zlg,-2.165108056932027,-3.573328628335968,-0.3830466179539721,-0.35181750295261394,-129.3501668278878,,True,0.1147375357412991,0.028062289115137348,0.6817811153044919
ru26ufirj,1.5287195501364303,-2.597486098589381,0.3200951470934409,0.38201857799134775,-122.60674617726359,,True,4.612267262672555,0.07446052955754495,1.3772588002737758
rv0b4sx2y,-0.6314437872951457,-2.2011714717082933,0.5590827237142593,-0.42200868270884184,-105.28331853372941,,True,0.53182340656365,0.11067343159757606,1.7490673862065709
s4xqtibhr,0.27016247501317997,2.671719086133404,-0.23033346512131186,-0.1713028706459772,-114.34713977436085,,True,1.3101773045158878,14.464814092751913,0.7942686974299449
t0p3bj6ne,-3.8824622639931263,-3.5897693178081793,-0.07850592604461953,-0.11230001509625398,-122.11533895919453,,True,0.020600039947424324,0.02760469760097093,0.9244965813073285
ta33uq804,-1.0121556121887352,-2.4456633618428776,-0.2557568253044954,-0.05346030554312767,-127.15407326078858,,True,0.36343471029368385,0.08666862317071002,0.7743302434206717
u3yyfob1i,0.39646598190409643,2.6604452423880076,1.0756574802184071,-0.9273246367952743,-101.75186904751853,,True,1.4865618671104701,14.302655829839658,2.931919946333704
uq15yb622,-2.790701108892804,-1.9489202146579934,0.9114924016063186,0.46786127045204823,-75.49830466798917,,True,0.06137816604810202,0.14242778001467962,2.4880329083203456
vdnjz8uta,-3.216160247855115,3.1062500570519744,-0.30224931842131675,0.8943749333684093,-112.39597086104615,,True,0.040108770701288654,22.337124209713636,0.7391537572669716
vr0a0xs4k,4.634201087896558,-3.8603019581962723,0.2597667920975609,0.5906887612397332,-121.9341370516448,,True,102.94564061512403,0.021061638828286676,1.2966276675852806
x71tw2ykd,-3.8323739672769572,5.49364444587281,1.1608463067038615,-0.7896124616308258,-107.92918449280566,,True,0.021658138839032184,243.14171092023847,3.1926340807259552
