sid,log_h_gain,log_h_loss,log_beta,beta0,a,b,log_sigma,tau_raw,tau,ll_choice,ll_rt,conv,h_gain,h_loss,beta,sigma
2rrjzhgj9,3.3048156473343377,-2.3916094451670604,-0.30871275691791394,-0.09010230719585739,0.25829145546019977,-0.1809393346051576,-0.43756550975364317,0.9034532635085716,0.4533728064315405,-134.17529283755522,-261.9043525619528,True,27.243518710528516,0.0914823295368025,0.7343916886644637,0.6456062315373647
3lmzwis6r,-1.946000661365024,5.014138056213652,1.2914874559896894,-0.7183663670804122,0.8462380549732917,0.27940460639233344,-0.7055993484368642,-0.2754265611528927,0.5320236747214142,-96.07605471774943,-288.66787162235505,True,0.14284421311234355,150.52633559364955,3.6381941866838927,0.4938125197832752
4f8msviwg,-0.9335220847369549,3.8641588661811723,1.0324886368491504,0.2671035306241208,0.7551869939470258,0.2640695886203533,-1.3631370966292002,-1.7723329464531672,0.07031816072460251,-116.5832958050951,-146.438215390725,True,0.3931665031351442,47.66316446742454,2.8080453514913524,0.2558568689232097
52b64k0rp,-2.9187015525516533,-3.073566626020294,-3.1114935178719216,-1.7303939834017643,-0.5207646954233407,-0.7272277860318507,-0.5952572007304577,1.054253630725189,0.5084161648872987,-86.33002121152451,-213.67026650547172,True,0.05400376284387101,0.046255882865517635,0.04453439273496222,0.5514207218149744
5wlmihb4c,4.397576397407227,-3.2523528471403162,-0.4099079739604853,-0.257687944791149,-0.0038967385013685954,-0.37215178598281873,-0.6833907280416947,0.7639010445281702,0.5976420735969399,-131.6669575508085,-173.67680684645984,True,81.25370315042426,0.03868308528845182,0.6637113260507065,0.5049021009314275
6owg3par9,1.6486713249710492,-3.51698280069198,-0.03405002623862745,0.07410175156777897,0.2922001587848033,0.12783173224650113,-0.3617231350117349,1.373291263087436,0.7052515327602294,-130.77198690628663,-257.09383446700656,True,5.200066037214386,0.029688877427907802,0.9665231519102278,0.6964751707403272
8py7pm5i0,-3.9130927167381104,-3.9209031148945943,0.10138010839214352,0.04967257469229174,-0.2941952034698084,0.12745198128076188,-0.33459232305481873,2.3283173969028503,0.5181566616023057,-105.37440327678766,-131.2713951690043,True,0.019978617212544496,0.01982318404510858,1.1066972267278634,0.7156297726512256
95vrrzevd,2.0500611814675977,-4.193386979924363,-0.08777538385688743,1.2988389265054776,0.15795759286989786,-0.4524645021971541,-0.9641140675763413,-0.020527631739219305,0.3766501805344529,-105.96611417670773,-148.0756607642304,True,7.768376372435201,0.015095071488564258,0.9159665945023707,0.38132087466535225
bh348lli7,-2.00178430899145,-1.2400478463355284,-1.99205662833662,0.639375276309951,-1.8923610795071448,0.3915324807462454,0.09982477063390541,3.8381055122062326,0.24751590363262554,-100.88652204886748,116.6505239147863,True,0.13509401858322906,0.2893703722958968,0.13641458265367873,1.1049772766425754
c0ry57ax9,0.5991585868198842,-2.897245385657575,0.43733956955161984,-0.048988976680170035,-0.49415936540459543,0.003298894542733414,-0.5686910387803492,1.0472673403514516,0.37184672523651713,-109.71687062242142,-70.33127554774099,True,1.8205862904435726,0.05517499675470381,1.5485818390256345,0.566266174258818
ck5f3lx8c,4.793612901751311,-3.6416184132928446,0.7597740050734595,1.4041484255459162,0.43506668901643486,-0.233803381404723,-0.8238470545534419,0.38077523023984494,0.6763373844879353,-105.14856587894073,-223.69847125522392,True,120.73679178559111,0.026209891185583627,2.1377930355201773,0.43874054488521275
ctdyczfpw,-1.937891219807635,-1.2400627819777676,-0.06734321791823415,1.047236800942784,0.0682927274361775,-0.056088663227012114,-0.626862302583669,1.2603611948043254,0.6895398723776566,-103.85701622242877,-176.35509097117762,True,0.144007309567698,0.2893660503958168,0.9348742806626443,0.5342655373908581
dasemqdsv,1.1813138490754422,-3.8571008070745623,-0.2701220849256279,0.6854849950009553,-0.16287985811551428,-0.2762149019581889,-0.40905171827688913,1.5574123745301012,0.6415846142233074,-123.52277532732639,-193.41131506272075,True,3.258652769507206,0.0211291683454751,0.763286302896812,0.6642798760232401
derouhkrw,4.243405140304538,-3.437525769783509,0.9272114149587293,0.35000102726992305,0.18926058536555354,0.14224644964747166,-0.6245193581475776,0.8827567257500113,0.6092777257080568,-115.05516594489,-186.27301882566127,True,69.64459816096888,0.032144118969215894,2.527451328518005,0.5355187594005657
dm8t9csqy,4.294859048108875,-3.3496353896949977,0.23130390765009282,-0.4139193287310762,0.21444267693261165,0.30792940910324873,-0.5830999262627938,0.8536403192539347,0.6347445303389022,-124.03442302627292,-192.61545160207027,True,73.32187885914492,0.03509714855024685,1.2602421784962459,0.5581654103204216
eqi6zanpf,-3.7453702096573283,0.26389077734228317,0.453916482794145,1.610479283941668,0.2987216280211734,0.2818961642163466,-0.5992717555525414,1.234701799939068,0.7599919888967596,-65.88852337445371,-184.21697306480394,True,0.023626880529040932,1.3019859821652504,1.5744664969412798,0.5492114506844205
etxmnk1pg,-0.4915450509170175,-4.016645227620838,0.6213983312752587,0.39543103761767834,0.6352805059300011,-2.21111007430091e-05,-0.5899152963389511,0.6071852381133704,0.7123415872019825,-105.91732778135322,-292.72514178329425,True,0.6116805860612976,0.018013294189275084,1.861529257322335,0.5543742402735683
goz8d3fp9,-1.631945121158738,-3.883102019634636,0.22073973334071598,0.5951221974222456,0.3556557311132836,-0.22983874289388845,-0.6951606000625339,0.06663445146138672,0.4071427980422528,-106.35978544735926,-250.61986405549467,True,0.19554883777586163,0.020586865170420944,1.2469988361041355,0.49899430303339487
hrqn8w6vu,-2.4192342378666694,-2.9054785052083814,0.023484781551278536,0.11104270761312807,-0.06883668835586926,-0.3812093497357449,-0.5173399882834747,1.0461375645264288,0.5932122850211956,-111.79859105815802,-236.76574991868924,True,0.08898973634497412,0.05472259928687486,1.0237627205476107,0.5961040847730205
ig1j8ozi9,1.6301591249262402,-2.3476506815478118,-0.050445358384019236,-0.3898999726011779,0.26771588108917715,-0.06111410579672428,-0.4441390481261712,1.2960503025260546,0.7285022513288377,-120.62487371027171,-255.0058047210265,True,5.104686936845227,0.09559347813971004,0.9508058808227514,0.6413762324634313
iogaivfgt,-2.7061510515170957,-2.6740592644098693,0.5187730600558985,-0.3617401234187292,1.0063813644062634,0.06445006862261389,-0.7985393199396684,-0.43782546029422204,0.4009964226452635,-97.14583893920044,-314.5526794263095,True,0.06679339694079083,0.06897168200080131,1.679965168317518,0.4499857695501575
ir0t9ca41,-0.665396360883035,-3.505939380215486,0.33319152809833397,-0.03704473767879535,0.37611042489556357,0.10400739524891499,-0.6072279995384953,-1.2226673247303168,0.08793775626785422,-116.83832269449186,-224.89730007080323,True,0.5140697301884188,0.030018561252769294,1.3954145339695119,0.5448591274149549
jtf46arcd,-1.577915661586192,5.212397221828589,0.954128112816493,-0.9485245692097334,0.6433047906835416,0.395686999928363,-0.5251721239182547,0.2561554992707485,0.2879559076979643,-99.85862309948519,-279.39390519653205,True,0.2064048677513539,183.53350177813667,2.596405822795251,0.5914535523020328
