sid,llc,auc
2rrjzhgj9,-0.5500193496724656,0.8036363636363636
3lmzwis6r,-0.3641230946507485,0.9342948717948718
4f8msviwg,-0.5836818015530686,0.7975757575757576
52b64k0rp,-0.3058028390232851,0.539072039072039
5wlmihb4c,-0.5503200363558165,0.7758333333333334
6owg3par9,-0.3796134146513236,0.9160914581535806
8py7pm5i0,-0.4900321111340113,0.8772035256410257
95vrrzevd,-0.4088540460780797,0.894524959742351
bh348lli7,-0.010170256293953244,
c0ry57ax9,-0.6773937161677942,0.525692492974709
ck5f3lx8c,-0.3936733245180379,0.9070616883116883
ctdyczfpw,-0.28325491489019106,0.941875
dasemqdsv,-0.42873089871331194,0.8509724106739032
derouhkrw,-0.42781462444265067,0.9134
dm8t9csqy,-0.42489067406318143,0.8792857142857143
eqi6zanpf,-0.3933582903049638,0.9253565062388592
etxmnk1pg,-0.4696047558045312,0.7889254385964912
goz8d3fp9,-0.3671764059662214,0.9245833333333333
hrqn8w6vu,-0.6579310094251174,0.6757215619694398
ig1j8ozi9,-0.4845361640399557,0.8144490644490644
iogaivfgt,-0.487337895521421,0.8111266947171576
ir0t9ca41,-0.626846600660755,0.7769726247987118
jtf46arcd,-0.5313963936796292,0.8084782608695652
kimjztxjq,-0.6436864273204362,0.8318452380952381
kqi5vqk0e,-0.36943295358502337,0.8916320166320166
ljm2sl8s0,-0.4426524336007203,0.871
mu73zwng6,-0.5367125998976526,0.807224025974026
n08qsd76x,-0.4101738254693574,0.9024488157366519
nvbinkqjq,-0.4197976577935702,0.8902542372881356
o7piq7dwr,-0.6667469788953756,0.5859859446052088
od96gfdym,-0.4830589155013159,0.8071725571725572
omy06qkfz,-0.6903530398985478,0.5248878008975928
orxx7nl6z,-0.49377968737974676,0.446159122085048
p5lejwwzi,-0.6506615695751916,0.6148200757575758
qhp782ect,-0.3694459933571314,0.9224489795918367
rncbe0zlg,-0.3599914233102388,0.9236778846153846
ru26ufirj,-0.39259529835013024,0.8355263157894737
rv0b4sx2y,-0.5044659196286124,0.8028571428571428
s4xqtibhr,-0.6512638106975658,0.7012195121951219
t0p3bj6ne,-0.2982807970948706,0.9433304272013949
ta33uq804,-0.3994257630760897,0.8339831059129305
u3yyfob1i,-0.6089339222627705,0.6456456456456456
uq15yb622,-0.26934703405593097,0.9569243156199678
vdnjz8uta,-0.13522168874715645,0.9886363636363636
vr0a0xs4k,-0.6261170795832153,0.7543103448275862
x71tw2ykd,-0.39944495307240946,0.9210526315789473
xh8tt6q04,-0.4699457836347444,0.8597438975590236
xq3i744zg,-0.5603148042483057,0.8041758241758242
yj444yij9,-0.5722613825588663,0.7624080882352942
