sid,log_h_gain,log_h_loss,log_beta,beta0,a,b,log_sigma,tau_raw,tau,ll_choice,ll_rt,conv,h_gain,h_loss,beta,sigma
2rrjzhgj9,1.8075847768697935,-1.476528650368422,1.055414125904297,1.1383330610366167,0.6883279459121275,0.009430134648760904,-0.9047822652178045,-0.4103979215068591,0.30168849035064377,-113.70866645784993,-237.73609073777573,True,6.095707145961925,0.2284292715255419,2.873164759515323,0.4046299775323056
3lmzwis6r,0.09791084567081426,0.4175868230075587,2.4027272942737494,-0.48220970827197907,1.2619456822170787,0.4014963299708488,-0.7962466880892959,-1.8460529958396248,0.04537813001832008,-62.25182262095508,-351.5101497710723,True,1.102864455584601,1.518293220959823,11.053280859689623,0.45101860476069694
4f8msviwg,-1.7046021098373072,-6.7802402974030944e-09,1.1646372356820356,-0.6772206939752788,0.3494945758979824,0.24036476632036924,-0.9086688079364361,0.2383075803525629,0.588033193066569,-98.86934230007796,-150.7857564422409,True,0.18184472601037588,0.9999999932197597,3.204760099695578,0.4030604178953872
52b64k0rp,-2.1732197629190972,-2.550915410157139,-1.183788646992337,-2.4174038351114335,-0.14604345311551048,-0.6878911255682659,-0.6379513544769014,0.8583855951352308,0.48684907127335075,-56.266257338052135,-214.08324697877583,True,0.11381058325148187,0.07801022195630054,0.30611677046575386,0.5283737665724992
5wlmihb4c,2.9165465547641007,-1.7432930233742159,1.1833246629539227,0.9056727156780379,0.15541515321924163,0.2989441969583022,-0.5791415389479281,1.4603597942458486,0.9930108238602522,-106.93342000546039,-169.8053269396279,True,18.477366576065386,0.17494335846321732,3.2652119061126528,0.5603792238753224
6owg3par9,0.777868577926028,-1.1971064233904871,1.9188855761980024,0.8459444514830844,0.484510974031798,-0.2382666620797473,-0.6657076682436371,-0.10547782402345428,0.3771510812554964,-71.95471760073396,-262.46127670316275,True,2.1768275790098,0.3020670025730585,6.8133612648591315,0.5139097214047967
8py7pm5i0,2.6335961635656617,0.056028076974335504,1.506227346853135,0.6993915454399344,0.2689253754400924,0.06540615981302535,-0.6335240724945557,0.13477120690535385,0.26172253359092545,-99.72532959636739,-206.08477393642158,True,13.923752066123127,1.0576273782964996,4.509685182945144,0.5307182121606241
95vrrzevd,2.572925604716606,-1.8083572442078382,1.7440281652587215,1.9338172290809377,0.29593882212045436,0.10575276716584273,-0.7456309763208393,0.5354633221138199,0.6972596158918218,-79.22155356867535,-183.3834508058095,True,13.104105849375115,0.16392320152715603,5.720339548517003,0.4744348483213355
bh348lli7,0.9704097677574633,0.5096015966655628,0.4329782022764199,-5.093538492533363,-1.3258689430178607,0.4811620947563175,-0.2892182068030312,2.2118084019830264,0.22646367402194112,-1.278766296793301,64.19622400405906,True,2.6390256254379474,1.6646278695253145,1.5418426116752804,0.748848783674412
c0ry57ax9,1.215529963616173,-2.8931806127060553,-0.4294635118420581,0.38295767694984406,-0.003771499159729237,-0.06969996516822304,-0.5135201596337947,0.5757406567537161,0.4533388759184545,-136.10234403424272,-187.00102077600386,True,3.372080670927934,0.055399727018438094,0.6508581787806278,0.5983854546813235
ck5f3lx8c,-1.3651421069704277,4.044371890166547,2.0887515712045617,-4.281162750844121,0.5832692535348193,-0.15438350268389933,-0.7713551054505361,0.09905497287893524,0.5262495286993721,-57.236100565883305,-259.7694926488454,True,0.2553443871924137,57.07532520004694,8.07482802125532,0.4623860617046734
ctdyczfpw,1.371612698492166,-2.3260319665070055,2.1876015131806783,1.5418869830678161,0.6198266498143833,0.4218133222233973,-0.7906417452302479,0.24357476518830873,0.5083694302363827,-59.07162104434077,-210.735925513241,True,3.9417023498783323,0.09768258686172096,8.913807804254391,0.4535536359847483
dasemqdsv,-0.06606134283180372,2.8250474601830584,1.684552754036697,-2.242647022905453,0.08302695753546714,-0.117095126992978,-0.5223015098482323,1.2059292102677839,0.7189119481560369,-85.23688341553081,-204.1025200752179,True,0.9360734411347319,16.861745228614286,5.3900397196804635,0.5931538264388841
derouhkrw,0.9625926410574916,-0.6711347705408629,2.3218972689982116,1.4122620936935266,0.4241210689771946,-0.2275498902581299,-0.3832213504243449,1.144314811609843,0.8627683046177439,-60.28936033546233,-305.7667733231234,True,2.618476450155046,0.5111282353070139,10.194998623387523,0.6816619964132333
dm8t9csqy,1.2327743002307732,-0.6533477337308874,1.6124144633477298,-0.5044789753202648,0.6828483921464213,0.034784033114835834,-0.7109848254868375,0.17781356272512025,0.6017282224585656,-82.00030936778339,-274.0818593785438,True,3.430734232525946,0.520301028610699,5.014904926199373,0.4911602520648441
eqi6zanpf,-1.3784853777530066,1.8398245466656191,2.040888000001443,-4.373562960513843,0.8105641741272216,-0.3940639289253038,-0.8682738845041261,-0.3572028232225145,0.6125032863822525,-53.791859091153306,-303.7349296852153,True,0.2519598882495671,6.2954336093039505,7.697441492948309,0.4196753324958481
etxmnk1pg,0.03538704655008518,-1.2469145566954112,1.259171057241636,-1.2226230600476309,0.7236415125701013,-0.1011488865799101,-0.6426871061098373,-0.7552884952504598,0.24485543645563013,-81.06081032710662,-307.64359599941577,True,1.036020619415645,0.2873901563282342,3.522500325658443,0.5258774353125781
goz8d3fp9,3.725584814121544,-1.0623074967283739,1.858215538941067,1.6619678406806169,1.0116353462692036,0.446262908356415,-0.5392474755184319,0.21605163111675432,0.4813773227812837,-74.41318483772201,-336.53113660069744,True,41.495492800497914,0.3456572863312665,6.41228408478342,0.5831869497450454
hrqn8w6vu,0.5260719895052441,0.5367483568913594,1.0517088794625657,-0.5934106434856373,0.8339202719898556,0.3217919033642516,-0.6403546817957546,-0.21226911808539287,0.1910519591443619,-114.41225526922491,-304.3355031656089,True,1.6922719741758825,1.7104360822994724,2.8625386743028254,0.5271054361817566
ig1j8ozi9,1.9527721517553598,2.5670045820174794,1.22719497655813,-1.5188073287715267,0.4763519576980674,-0.39449499290840156,-0.6276151617157628,0.5042816784254002,0.579394141210419,-88.13694251723643,-280.80097924934466,True,7.048199201295213,13.026745393707946,3.4116463540492763,0.5338634620740987
iogaivfgt,0.19568406463784566,-0.12313445412915075,1.587985582492545,-1.0526791857990094,1.108358944162865,0.022833510187103084,-0.8241918128112155,-1.0344919024466939,0.32342572337207903,-84.55084921958164,-338.7041122796143,True,1.2161426221734253,0.8841447776525941,4.893880673363035,0.4385893115303154
ir0t9ca41,-2.3711977338012966,2.1003561943281217,1.2383102069928469,-1.4810452598087072,0.30455540085529115,0.2877972883610089,-0.38774232599628444,0.9303220667864547,0.4676567219742359,-101.5799721098233,-239.51296438556477,True,0.09336882827781118,8.169079174073449,3.449779124096806,0.6785871750125939
jtf46arcd,2.816659253849292,-3.373087162937135,1.2446510734353236,1.6073185236725964,1.0498705737795666,0.14977574348741557,-0.6160925868736633,-0.2350197389081082,0.4707554939159632,-94.86040529409841,-339.0092883581073,True,16.72089698840234,0.03428363463764565,3.471723211517828,0.5400505207402182
